;Latitude;Longitude
Lidl Filiale Schaeferwiese 3 in 38239 Salzgitter;;
Lidl Filiale Rex-Brauns-Str. 6 in 31139 Hildesheim;;
Lidl Filiale Alter Dreschplatz 2 in 32825 Blomberg;;
Lidl Filiale Magdeburger Chaussee 41 in 39288 Burg (bei Magdeburg);;
Lidl Filiale Frankenstr. 2c in 31135 Hildesheim;;
Lidl Filiale Fischersteg 2 in 38154 Koenigslutter am Elm;;
Lidl Filiale Am Kreisel 1C in 38268 Lengede;;
Lidl Filiale Hauptstr. 57-63 in 31860 Emmerthal;;
Lidl Filiale Drispenstedter Str. 2 in 31137 Hildesheim;;
Lidl Filiale Steuerwalder Str. 31 in 31137 Hildesheim;;
Lidl Filiale Im Moorbusche 5 in 38162 Cremlingen;;
Lidl Filiale Borsigstr. 30 in 38126 Braunschweig;;
Lidl Filiale Am Hauptgueterbahnhof 1 in 38126 Braunschweig;;
Lidl Filiale Von-Ketteler-Str. 24 in 31137 Hildesheim;;
Lidl Filiale Alverdisser Str. 30 in 32683 Barntrup;;
Lidl Filiale Donauknoten 9 in 38120 Braunschweig;;
Lidl Filiale Anne-Frank-Str. 7 in 32756 Detmold;;
Lidl Filiale Hauptstr. 47-50 in 31171 Nordstemmen;;
Lidl Filiale Sprottauer Str. 1 in 32756 Detmold;;
Lidl Filiale Hildesheimer Str. 25 in 38114 Braunschweig;;
Lidl Filiale Adolf-Meier-Str. 38 in 32758 Detmold;;
Lidl Filiale Bueltenweg 39 in 38106 Braunschweig;;
Lidl Filiale Celler Str. 81 in 38114 Braunschweig;;
Lidl Filiale Nienstedter Weg 2 in 31789 Hameln;;
Lidl Filiale Bodelschwinghstr. 5 in 38159 Vechelde;;
Lidl Filiale Bevenroder Str. 2 in 38108 Braunschweig;;
Lidl Filiale Am Bahnhof 2 in 33397 Rietberg;;
Lidl Filiale Ohsener Str. 11 in 31789 Hameln;;
Lidl Filiale Deisterstr. 85 in 31785 Hameln;;
Lidl Filiale Luechtenstr. 61 in 33758 Schloss Holte;;
Lidl Filiale Zum Wasserturm in 31241 Ilsede;;
Lidl Filiale Reimerdeskamp 9 in 31787 Hameln;;
Lidl Filiale Marktstr. 28-30 in 31249 Hohenhameln;;
Lidl Filiale Westring 11 in 33415 Verl;;
Lidl Filiale Breslauer Str. 8 in 32699 Boesingfeld;;
Lidl Filiale Triftenstr. 76 in 32791 Lage;;
Lidl Filiale Vosstr. 12 in 31157 Sarstedt;;
Lidl Filiale Friedrich-Petri-Str. 18-26 in 32791 Lage;;
Lidl Filiale Braunschweiger Str. 120 in 31226 Peine;;
Lidl Filiale Herforder Str. 71 in 32657 Lemgo;;
Lidl Filiale Bielefelder Str. 55 in 33378 Rheda-Wiedenbrueck;;
Lidl Filiale Am Rohmel-Center 1 in 31848 Bad Muender am Deister;;
Lidl Filiale Am Kalkwerk 2a in 31832 Springe;;
Lidl Filiale Hauptstr. 2 in 38179 Schwuelper;;
Lidl Filiale Neuenkirchener Str. 100 in 33332 Guetersloh;;
Lidl Filiale Carl-Bertelsmann-Str. 152 in 33332 Guetersloh;;
Lidl Filiale Geschwister-Scholl-Str. 5 in 39307 Genthin;;
Lidl Filiale Daimlerstr. 2 in 31228 Peine;;
Lidl Filiale Krentruper Str. 34 in 33818 Leopoldshoehe;;
Lidl Filiale Goettinger Str. 11-13 in 30982 Pattensen;;
Lidl Filiale Muenchhausenring 6 in 31840 Hessisch-Oldendorf;;
Lidl Filiale Schoenwalder Str. 5/7 in 39517 Tangerhuette;;
Lidl Filiale Auf dem Stempel 10 in 33334 Guetersloh;;
Lidl Filiale Nordstr. 20 in 31319 Sehnde;;
Lidl Filiale Detmolder Str. 550 in 33699 Bielefeld;;
Lidl Filiale Breslauer Str. 209 in 38440 Wolfsburg;;
Lidl Filiale Pettenkoferstr. 2 d in 30880 Laatzen;;
Lidl Filiale Detmolder Str. 345 in 33605 Bielefeld;;
Lidl Filiale Am neuen Tor 9 in 38442 Wolfsburg;;
Lidl Filiale Oldentruper Str. 255 in 33719 Bielefeld;;
Lidl Filiale Kasseler Str. 1 in 33649 Bielefeld;;
Lidl Filiale An der Meine 6 in 38448 Wolfsburg;;
Lidl Filiale Kimbernstr. 1 in 33647 Bielefeld;;
Lidl Filiale Peiner Str. 30 d in 31234 Edemissen;;
Lidl Filiale Hoffmannstr. 19 in 32105 Bad Salzuflen;;
Lidl Filiale Heeperstr. 113 in 33607 Bielefeld;;
Lidl Filiale Weetzener Landstr. 102 A in 30966 Hemmingen-Wilkenburg;;
Lidl Filiale Moorstr. 2 b in 38550 Isenbuettel;;
Lidl Filiale Wuelfeler Str. 78 in 30539 Hannover;;
Lidl Filiale Herforder Str. 82 in 32105 Bad Salzuflen;;
Lidl Filiale Stadtheider Str. 7 in 33609 Bielefeld;;
Lidl Filiale Joellenbecker Str. 41 in 33613 Bielefeld;;
Lidl Filiale An der Klanze 19 in 38554 Weyhausen;;
Lidl Filiale Hildesheimer Str. 213 - 219 in 30519 Hannover;;
Lidl Filiale Ronnenberger Str. 2 in 30989 Gehrden;;
Lidl Filiale Tillystr. 31 in 30459 Hannover;;
Lidl Filiale Bahnhofsallee 5 in 31737 Rinteln;;
Lidl Filiale Burgdorfer Str. 72 - 80 in 31275 Lehrte;;
Lidl Filiale Tresckowstr. 43 in 30457 Hannover;;
Lidl Filiale Bahnhofstr. 21A in 33803 Steinhagen;;
Lidl Filiale Braunschweiger Str. 112 in 38518 Gifhorn;;
Lidl Filiale Anderter Str. 81 in 30629 Hannover;;
Lidl Filiale Spielhagenstr. 20 in 30173 Hannover;;
Lidl Filiale Babenhauser Str. 18 in 33613 Bielefeld;;
Lidl Filiale Berliner Ring 40 in 33428 Harsewinkel;;
Lidl Filiale Berckhusenstr. 95 in 30625 Hannover;;
Lidl Filiale Klammstieg Nr. 3 in 39638 Gardelegen;;
Lidl Filiale Steinklippen Str. 7 in 30890 Barsinghausen;;
Lidl Filiale Brucknerring 1 in 30629 Hannover;;
Lidl Filiale Bardowicker Str. 12 in 30449 Hannover;;
Lidl Filiale Niki-de-Saint-Phalle-Promenade 86 in 30161 Hannover;;
Lidl Filiale Mindener Str. 69 in 32049 Herford;;
Lidl Filiale Westring 70 in 32051 Herford;;
Lidl Filiale Gartenstr. 30 in 30453 Hannover;;
Lidl Filiale Dragonerstr. 39 in 30163 Hannover;;
Lidl Filiale Arneburger Str. 116 in 39590 Tangermuende;;
Lidl Filiale Schapers Kamp 3 in 31311 Uetze;;
Lidl Filiale Am Listholze 54 in 30177 Hannover;;
Lidl Filiale Ostlandring 2 in 31303 Burgdorf;;
Lidl Filiale Vehlener Str. 13 in 31683 Obernkirchen;;
Lidl Filiale Elsa-Brandstroem-Str. 1 in 33790 Halle (Westf.);;
Lidl Filiale Hannoversche Str. 18 in 31675 Bueckeburg;;
Lidl Filiale Weserstr. 61 in 32547 Bad Oeynhausen;;
Lidl Filiale Dresdener Str. 3 in 30179 Hannover;;
Lidl Filiale Gehrenbreite 6 in 31542 Bad Nenndorf;;
Lidl Filiale Hannoversche Str. 81a in 30926 Seelze;;
Lidl Filiale Buender Str. 256 in 32120 Hiddenhausen;;
Lidl Filiale Eichenweg 1 in 30659 Hannover;;
Lidl Filiale Dingelkamp 2 in 32549 Bad Oeynhausen;;
Lidl Filiale Zur Porta 1 in 32457 Porta Westfalica;;
Lidl Filiale Alte Stoeckener Str. 95-97 in 30419 Hannover;;
Lidl Filiale Lambernweg 46 in 32130 Enger;;
Lidl Filiale Alte Buender Str. 16 in 32584 Loehne;;
Lidl Filiale Breslauer Str. 4 in 31655 Stadthagen;;
Lidl Filiale Strassburger Platz 20-25 in 30853 Langenhagen;;
Lidl Filiale Erich-Weinert-Str. 23 in 39576 Stendal;;
Lidl Filiale Portastr. 119 in 32457 Porta Westfalica;;
Lidl Filiale Auf der Horst 66-70 in 30823 Garbsen;;
Lidl Filiale Lange Str. 35-37 in 32139 Spenge;;
Lidl Filiale Hesper Str. 29 in 31693 Stemmen;;
Lidl Filiale Arneburger Str. 20 in 39576 Stendal;;
Lidl Filiale Viktoriastr. 39-41 in 32423 Minden;;
Lidl Filiale Bahnhofstr. 26-28 in 38465 Brome;;
Lidl Filiale Schwabenring 6 in 32427 Minden;;
Lidl Filiale Knetterhauser Str. 15 in 33775 Versmold;;
Lidl Filiale Luebbecker Str. 149 in 32278 Kirchlengern;;
Lidl Filiale Siemensstr. 2 in 30827 Garbsen;;
Lidl Filiale Herforder Str. 13 in 32257 Buende;;
Lidl Filiale Industriestr. 8 in 31515 Wunstorf;;
Lidl Filiale Luebbecker Str. 74 in 32257 Buende;;
Lidl Filiale Salzwedeler Str. 4 in 38486 Kloetze;;
Lidl Filiale Stiftstr. 51-53 in 32427 Minden;;
Lidl Filiale Koenigstr. 170 a in 32427 Minden;;
Lidl Filiale Hagenburger Str. 6 in 31515 Wunstorf;;
Lidl Filiale Grossenheidorner Str. 1 in 31515 Wunstorf;;
Lidl Filiale Dingbreite 1 in 32469 Petershagen;;
Lidl Filiale Wedemarkstr. 85 in 30900 Wedemark;;
Lidl Filiale Mindener Str. 94-96 in 32479 Hille;;
Lidl Filiale Justus von Liebig Str. 21 in 31535 Neustadt am Ruebenberge;;
Lidl Filiale Landwehr 9 in 31535 Neustadt am Ruebenberge;;
Lidl Filiale Am Hahlerbaum 1 in 32312 Luebbecke;;
Lidl Filiale Marktstr. 2 in 32361 Preussisch Oldendorf;;
Lidl Filiale Gerhard-Wetzel-Str. 9 in 32339 Espelkamp;;
Lidl Filiale Bismarker Str. 36 in 39606 Osterburg (Altmark);;
Lidl Filiale Auf dem Weinberge 2 in 31592 Stolzenau;;
Lidl Filiale Muehlenstr. 6-10 in 31600 Uchte;;
Lidl Filiale Eisenbahnstr. 20 in 32369 Rahden;;
Lidl Filiale Goettinger Str. 1 in 31582 Nienburg (Weser);;
Lidl Filiale Verdener Landstr. 62 in 31582 Nienburg (Weser);;
Lidl Filiale Poststr. 2 in 42477 Radevormwald;;
Lidl Filiale Thomas-Mann-Str. 41 in 42929 Wermelskirchen;;
Lidl Filiale Franz-Vogt-Str. 1 in 42897 Remscheid;;
Lidl Filiale Neuenkamper Str. 26 in 42855 Remscheid;;
Lidl Filiale Am Schuetzenplatz 18 in 42899 Remscheid;;
Lidl Filiale Schuettendelle 49 in 42857 Remscheid;;
Lidl Filiale Koenigstr. 201 in 42853 Remscheid;;
Lidl Filiale Neukirchener Str. 76 in 42799 Leichlingen;;
Lidl Filiale Elbestr. 4 in 51371 Leverkusen;;
Lidl Filiale Luettringhauser Str. 54 in 42369 Wuppertal;;
Lidl Filiale Zietenstr. 1 in 42651 Solingen;;
Lidl Filiale Gruenewalder Str. 85 in 42657 Solingen;;
Lidl Filiale Weberstr. 3 in 40764 Langenfeld;;
Lidl Filiale Hoefen 32-56 in 42277 Wuppertal;;
Lidl Filiale Scheidter Str. 1 in 42653 Solingen;;
Lidl Filiale Beethovenstr. 129-141 in 42655 Solingen;;
Lidl Filiale Am Diek 105 in 42277 Wuppertal;;
Lidl Filiale Rauer Werth 4 in 42275 Wuppertal;;
Lidl Filiale Wittensteinstr. 261 in 42283 Wuppertal;;
Lidl Filiale Merscheider Str. 215 in 42699 Solingen;;
Lidl Filiale Nuemmener Feld 1 in 42719 Solingen;;
Lidl Filiale Soelder Str. 143 in 44289 Dortmund;;
Lidl Filiale Maerkische Str. 43 in 42281 Wuppertal;;
Lidl Filiale Am Wald 21 in 40789 Monheim;;
Lidl Filiale Weyerstr. 269-277 in 42719 Solingen;;
Lidl Filiale Hofkamp 113-119 in 42103 Wuppertal;;
Lidl Filiale Viehhofstr. 37 in 42117 Wuppertal Elberfeld;;
Lidl Filiale Hatzfelder Str. 10 in 42281 Wuppertal;;
Lidl Filiale Hildener Str. 36 in 42697 Solingen;;
Lidl Filiale Bissingstr. 5 in 42329 Wuppertal;;
Lidl Filiale Eichwaldstr. 5 in 44319 Dortmund;;
Lidl Filiale Landstr. 13 in 42781 Haan;;
Lidl Filiale Otto-Hausmann-Ring 116 in 42115 Wuppertal;;
Lidl Filiale Duesseldorfer Str. 76-84 in 42781 Haan;;
Lidl Filiale Nevigeser Str. 170 in 42113 Wuppertal;;
Lidl Filiale Walder Str. 103 in 40724 Hilden;;
Lidl Filiale Walhovener Str. 30 in 41539 Dormagen;;
Lidl Filiale Brackeler Hellweg 154-156 in 44309 Dortmund;;
Lidl Filiale Hagener Str. 16 in 44225 Dortmund;;
Lidl Filiale Beisenbruchstr. 10 in 45549 Sprockhoevel;;
Lidl Filiale Duesseldorfer Str. 59 in 40721 Hilden;;
Lidl Filiale Kieferstr. 19-21 in 44225 Dortmund;;
Lidl Filiale Husener Str. 48 in 44319 Dortmund;;
Lidl Filiale Kaiserstr. 182-190 in 44143 Dortmund;;
Lidl Filiale Mariannenpark 1 in 41569 Rommerskirchen;;
Lidl Filiale Droote 2 in 44328 Dortmund;;
Lidl Filiale Hundertwasser-Weg 2 in 42489 Wuelfrath;;
Lidl Filiale Elberfelder Str. 103 in 42553 Velbert;;
Lidl Filiale Hasselsstr. 1 in 40597 Duesseldorf;;
Lidl Filiale Tremoniastr. 26 in 44137 Dortmund;;
Lidl Filiale Roentgenstr. 10 in 40699 Erkrath;;
Lidl Filiale Borsigstr. 6 in 44145 Dortmund;;
Lidl Filiale Muensterstr. 51 in 44145 Dortmund;;
Lidl Filiale Vogelpothsweg 6 in 44149 Dortmund;;
Lidl Filiale Zum Ludwigstal 60 in 45527 Hattingen;;
Lidl Filiale Seibelstr. 2 in 40822 Mettmann;;
Lidl Filiale Am weissen Stein 3 in 41541 Dormagen;;
Lidl Filiale Schuetzenstr. 126 in 44147 Dortmund;;
Lidl Filiale Arminiusstr. 51 in 44149 Dortmund;;
Lidl Filiale Stephanstr. 5 in 40599 Duesseldorf;;
Lidl Filiale Niederadener Str. 29 in 44532 Luenen;;
Lidl Filiale Bonsfelder Str. 1 in 42555 Velbert;;
Lidl Filiale Deutsche Str. 22 in 44339 Dortmund;;
Lidl Filiale Koelner Landstr. 435 in 40589 Duesseldorf;;
Lidl Filiale Kreisstr. 43a in 45525 Hattingen;;
Lidl Filiale Uemminger Str. 10-14 in 44892 Bochum;;
Lidl Filiale Huckarder Allee 27 in 44369 Dortmund;;
Lidl Filiale Kirchlinder Str. 1 in 44379 Dortmund;;
Lidl Filiale Gueterstr. 11 in 42551 Velbert;;
Lidl Filiale Darmstaedter Str. 2 in 40229 Duesseldorf;;
Lidl Filiale Heiligenhauserstr. 81 in 42549 Velbert;;
Lidl Filiale Bergstr. 3 in 44532 Luenen;;
Lidl Filiale Welper Str. 2-4 in 44879 Bochum;;
Lidl Filiale Dreherstr. 175 in 40625 Duesseldorf;;
Lidl Filiale Schuetzenstr. 8 in 44534 Luenen;;
Lidl Filiale Am Einkaufszentrum in 44791 Bochum-Harpen;;
Lidl Filiale Ruhrstr. 42 in 41469 Neuss;;
Lidl Filiale Bodelschwingher Str. 144 in 44357 Dortmund;;
Lidl Filiale Dr.-C.-Otto-Str. 141 in 44879 Bochum;;
Lidl Filiale Am Hummelbach 40 in 41469 Neuss;;
Lidl Filiale Fichtenstr. 4 in 40233 Duesseldorf;;
Lidl Filiale Bruchstr. 94a in 40235 Duesseldorf;;
Lidl Filiale Oberbilker Allee 61 in 40223 Duesseldorf;;
Lidl Filiale Bruesseler Str. 2 in 42579 Heiligenhaus;;
Lidl Filiale Grafenberger Allee 289 c in 40235 Duesseldorf;;
Lidl Filiale Konrad-Adenauer-Platz 5-6 in 44787 Bochum;;
Lidl Filiale Dortmunder Str. 185 in 44577 Castrop-Rauxel;;
Lidl Filiale Mengeder Str. 53-55 in 44536 Luenen;;
Lidl Filiale Amtmann-Ibing-Str. 7 in 44805 Bochum;;
Lidl Filiale Alstedder Str. 169-171 in 44534 Luenen;;
Lidl Filiale Kolpingstr. 89 in 41515 Grevenbroich;;
Lidl Filiale Koenigsallee 63-65 in 40215 Duesseldorf;;
Lidl Filiale Wittener Str. 92 in 44575 Castrop-Rauxel;;
Lidl Filiale Kohlenstr. 190 in 44793 Bochum;;
Lidl Filiale Benrather Str. 7B in 40213 Duesseldorf;;
Lidl Filiale Heidhauser Str. 135-137 in 45239 Essen;;
Lidl Filiale Vierhausstr. 110 in 44807 Bochum;;
Lidl Filiale Am Hammerwerk 31 in 41515 Grevenbroich;;
Lidl Filiale Buscherstr. 3 5, 5a in 40239 Duesseldorf;;
Lidl Filiale Langenberger Str. 427 in 45277 Essen;;
Lidl Filiale Heidestr. 99 in 44866 Bochum;;
Lidl Filiale Westring 206 in 44579 Castrop-Rauxel;;
Lidl Filiale Poststr. 70-72 in 44809 Bochum;;
Lidl Filiale Freudenbergstr. 6 in 44809 Bochum;;
Lidl Filiale Ruhrau 42 in 45279 Essen;;
Lidl Filiale Zur Spiegelglasfabrik 1 in 40878 Ratingen;;
Lidl Filiale Marler Str. 4 in 40472 Duesseldorf;;
Lidl Filiale Hammer Landstr. 45 in 41460 Neuss;;
Lidl Filiale Suedstr. 75 in 44625 Herne;;
Lidl Filiale Eisenbahnstr. 14 in 45134 Essen;;
Lidl Filiale Leveringhaeuser Str. 29 in 45731 Waltrop;;
Lidl Filiale Sodinger Str. 14 in 44623 Herne;;
Lidl Filiale Montebruchstr. 2 in 45219 Essen;;
Lidl Filiale Siemensstr. 13 in 44579 Castrop-Rauxel;;
Lidl Filiale Lyrenstr. 9 in 44866 Bochum;;
Lidl Filiale Steeler Str. 487-489 in 45276 Essen;;
Lidl Filiale Guennigfelder Str. 39 in 44866 Bochum;;
Lidl Filiale c&amp;d 12c in 48317 Drensteinfurt;
Lidl Filiale Sendenhorster Str. 12 in 48317 Drensteinfurt;;
Lidl Filiale Am Zehnthof 199 in 45307 Essen;;
Lidl Filiale Holsterhauser Str. 59 in 44652 Herne;;
Lidl Filiale Eleonorastr. 2 in 45136 Essen;;
Lidl Filiale Wartburgstr. 217-219 in 44579 Castrop-Rauxel;;
Lidl Filiale Hoetmarer Str. 12 in 48324 Sendenhorst;;
Lidl Filiale Roonstr. 14 in 44629 Herne;;
Lidl Filiale Normannenstr. 32-34 in 41462 Neuss;;
Lidl Filiale Rotthauser Str. 50 in 45309 Essen;;
Lidl Filiale Festweg 1a in 45886 Gelsenkirchen;;
Lidl Filiale Steeler Str. 199 in 45138 Essen;;
Lidl Filiale Koelner Str. 29 in 41363 Juechen;;
Lidl Filiale Paul-Gerhardt-Str. 2 in 44628 Herne;;
Lidl Filiale Karolinen Str. 8 in 44649 Herne;;
Lidl Filiale Walter-Sauer-Str. 1 in 45711 Datteln;;
Lidl Filiale Am Hauptbahnhof 5 in 45127 Essen;;
Lidl Filiale Wanner Str. 155 in 45888 Gelsenkirchen;;
Lidl Filiale Bokermuehlstr. 9 in 45879 Gelsenkirchen;;
Lidl Filiale Bochumer Str. 222 in 45661 Recklinghausen;;
Lidl Filiale Hammerschmidt Str. 76 in 44649 Herne;;
Lidl Filiale Essener Str. 71 in 45141 Essen;;
Lidl Filiale Hausackerstr. 27 in 45147 Essen;;
Lidl Filiale Sachsenstr. 101 b in 45665 Recklinghausen;;
Lidl Filiale Girmes-Kreuz-Str. 65 in 41564 Kaarst;;
Lidl Filiale Katzenbruchstr. 5-7 in 45141 Essen;;
Lidl Filiale Haedenkampstr. 81 in 45143 Essen;;
Lidl Filiale Berghaeuser Str. 1 in 45663 Recklinghausen;;
Lidl Filiale Pfarrer-Holl-Weg 21 in 40489 Duesseldorf;;
Lidl Filiale Wiesenstr. 6a in 45711 Datteln;;
Lidl Filiale Gewerkenstr. 4 in 45881 Gelsenkirchen;;
Lidl Filiale Helenenstr. 66 in 45143 Essen;;
Lidl Filiale Grimbergstr. 2 in 45889 Gelsenkirchen;;
Lidl Filiale Hans-Boeckler-Allee 100 in 45883 Gelsenkirchen;;
Lidl Filiale Andreasstr. 22 in 48231 Warendorf;;
Lidl Filiale Hingbergstr. 337 in 45472 Muelheim an der Ruhr;;
Lidl Filiale Hoevelstr. 175 in 45326 Essen;;
Lidl Filiale Castroper Str. 136 in 45665 Recklinghausen;;
Lidl Filiale Altenessener Str. 284 in 45326 Essen;;
Lidl Filiale Schuerenstr. 51 in 48336 Sassenberg;;
Lidl Filiale Ludwigstr. 66 in 45739 Oer-Erkenschwick;;
Lidl Filiale Essener Str. 44 in 45470 Muelheim an der Ruhr;;
Lidl Filiale Puellenweg 11 in 41352 Korschenbroich;;
Lidl Filiale Duesseldorferstr. 205 in 45481 Muelheim an der Ruhr;;
Lidl Filiale Ewaldstr. 244 in 45699 Herten;;
Lidl Filiale Wolfsbankring 20 in 45355 Essen;;
Lidl Filiale Konstantinstr. 51 in 41238 Moenchengladbach;;
Lidl Filiale Gladbecker Str. 163 in 46236 Bottrop;;
Lidl Filiale An der Feuerwache 1 in 45739 Oer-Erkenschwick;;
Lidl Filiale Stapper Weg 11 in 41199 Moenchengladbach;;
Lidl Filiale Alte Bottroper Str. 3 in 45356 Essen;;
Lidl Filiale Grossenbaumer Allee 61 in 47269 Duisburg;;
Lidl Filiale Hertener Str. 100 in 45657 Recklinghausen;;
Lidl Filiale Engelbertstr. 47 in 45892 Gelsenkirchen;;
Lidl Filiale Kaiserstr. 223 in 45701 Herten;;
Lidl Filiale Stockholtweg 100 in 41238 Moenchengladbach;;
Lidl Filiale Karnaper Str. 139 in 45329 Essen;;
Lidl Filiale Paschenbergstr. 1 in 45699 Herten;;
Lidl Filiale Weseler Str. 64-66 in 45478 Muelheim an der Ruhr;;
Lidl Filiale Heifeskamp 18 in 45475 Muelheim an der Ruhr;;
Lidl Filiale Kaerntener Ring 70 in 45899 Gelsenkirchen;;
Lidl Filiale Oberhausener Str. 91-95 in 45476 Muelheim an der Ruhr;;
Lidl Filiale Mittelstr. 48 in 41236 Moenchengladbach;;
Lidl Filiale Donnerstr. 201 in 45357 Essen;;
Lidl Filiale Muendelheimer Str. 184 in 47259 Duisburg;;
Lidl Filiale Breite Str. 120 in 41236 Moenchengladbach;;
Lidl Filiale Gewerbestr. Sued 1 in 41812 Erkelenz;;
Lidl Filiale Feldstr. 212 in 45701 Herten;;
Lidl Filiale Muelheimer Str. 306-312 in 46045 Oberhausen;;
Lidl Filiale Vinckestr. 19 in 45894 Gelsenkirchen;;
Lidl Filiale Duesseldorfer Str. 438 in 47055 Duisburg;;
Lidl Filiale Rossheidestr. 6 in 45968 Gladbeck;;
Lidl Filiale Brammenring 1 in 46047 Oberhausen;;
Lidl Filiale Neusser Str. 57 in 41065 Moenchengladbach;;
Lidl Filiale Hiltruper Str. 24 in 48167 Muenster;;
Lidl Filiale Koloniestr. 78 in 47057 Duisburg;;
Lidl Filiale Lindenstr. 108 a in 45894 Gelsenkirchen;;
Lidl Filiale Engelblecker Str. 73 in 41066 Moenchengladbach;;
Lidl Filiale Horster Str. 262 in 46238 Bottrop;;
Lidl Filiale Bahnhofstr. 140-142 in 45701 Herten;;
Lidl Filiale Zum Gueterbahnhof 6 in 47877 Willich;;
Lidl Filiale Bebelstr. 102 in 46049 Oberhausen;;
Lidl Filiale Peterstr. 25-27 in 46236 Bottrop;;
Lidl Filiale Aachener Str. 699 in 41069 Moenchengladbach-Holt;;
Lidl Filiale Brueckenstr. 60-62 in 47053 Duisburg-Hochfeld;;
Lidl Filiale Gladbacher Str. 49 in 41179 Moenchengladbach;;
Lidl Filiale Friedrich-Alfred-Str. 217 - 219 in 47226 Duisburg;;
Lidl Filiale Spenger Str. 8 in 49328 Melle;;
Lidl Filiale Duisburger Str. 263 in 46049 Oberhausen;;
Lidl Filiale An der Kesselschmiede 2 in 47829 Krefeld;;
Lidl Filiale Monschauer Str. 31 in 41068 Moenchengladbach;;
Lidl Filiale Buersche Str. 85 in 45964 Gladbeck;;
Lidl Filiale Bahnhofstr. 50 in 49214 Bad Rothenfelde;;
Lidl Filiale Diessemer Bruch 87 in 47805 Krefeld;;
Lidl Filiale Teutoburger Str. 313 in 46119 Oberhausen;;
Lidl Filiale Max-Peters-Str. 8 in 47059 Duisburg;;
Lidl Filiale Sandstr. 24 in 45964 Gladbeck;;
Lidl Filiale Am Landabsatz 1 in 41836 Hueckelhoven;;
Lidl Filiale Lindnerstr. 63 in 46149 Oberhausen;;
Lidl Filiale Hornstr. 5 in 45964 Gladbeck;;
Lidl Filiale Westfalenstr. 130a in 48165 Muenster;;
Lidl Filiale Gladbacher Str. 326 in 47805 Krefeld;;
Lidl Filiale Victoriastr. 99 in 45772 Marl;;
Lidl Filiale Scheideweg 65-69 in 45896 Gelsenkirchen;;
Lidl Filiale Up De Heuchte 5 in 49196 Bad Laer;;
Lidl Filiale Flutweg 120 in 47228 Duisburg;;
Lidl Filiale Bahnhofstr. 60 in 47138 Duisburg;;
Lidl Filiale Bergstr. 223-225 in 45770 Marl;;
Lidl Filiale Rathausallee 37 in 47239 Duisburg;;
Lidl Filiale Industriestr. 3 in 49324 Melle;;
Lidl Filiale Dorstener Str. 290-292 in 46145 Oberhausen;;
Lidl Filiale Nauenweg 78-80 in 47804 Krefeld;;
Lidl Filiale Orkotten 46-48 in 48291 Telgte;;
Lidl Filiale Gahlingspfad 25 in 47803 Krefeld;;
Lidl Filiale Bulderner Str. 8 in 48308 Senden;;
Lidl Filiale Sudendorfer Esch 3 in 49219 Glandorf;;
Lidl Filiale Alexstr. 89 in 47167 Duisburg;;
Lidl Filiale Am Bahnhof 12 in 41844 Wegberg;;
Lidl Filiale Duemmer Weg 201 in 45772 Marl;;
Lidl Filiale Weierstr. 87 in 46149 Oberhausen;;
Lidl Filiale Robert-Bosch-Str. 2 in 48153 Muenster-Berg Fidel;;
Lidl Filiale Girmesgath 3 in 47803 Krefeld;;
Lidl Filiale Maysweg 4 in 47918 Toenisvorst;;
Lidl Filiale Oldendorfer Str. 44 in 49324 Melle;;
Lidl Filiale Duisburger Str. 247 in 47166 Duisburg;;
Lidl Filiale Lauerstr. 70 in 47198 Duisburg;;
Lidl Filiale Lorenkamp 1 in 45721 Haltern am See;;
Lidl Filiale Hammer Str. 151 in 48153 Muenster;;
Lidl Filiale Friedrich-Ebert-Str. 17 in 48153 Muenster;;
Lidl Filiale Schulte-Marxloh-Str. 1 in 47169 Duisburg;;
Lidl Filiale Roemerstr. 446 in 47441 Moers;;
Lidl Filiale Muensterstr. 77 in 45721 Haltern am See;;
Lidl Filiale Marler Str. 137 in 46282 Dorsten;;
Lidl Filiale Dorbaumstr. 108 in 48157 Muenster;;
Lidl Filiale Franz-Haniel-Str. 22 in 47443 Moers;;
Lidl Filiale Weilerstr. 51-53 in 41849 Wassenberg;;
Lidl Filiale Holtener Str. 203 in 47179 Duisburg;;
Lidl Filiale Klever Str. 46 in 47441 Moers;;
Lidl Filiale York-Ring 22 in 48159 Muenster;;
Lidl Filiale Gewerbestr. 1 in 48249 Duelmen;;
Lidl Filiale Toenisvorster Str. 65 in 41749 Viersen;;
Lidl Filiale Arnheimweg 9 in 48161 Muenster;;
Lidl Filiale Heiligenstr. 1 in 41751 Viersen;;
Lidl Filiale Huettenweg 4 in 48249 Duelmen;;
Lidl Filiale Roermonder Str. 7 in 41366 Schwalmtal;;
Lidl Filiale Huelsdonker Str. 110 in 47441 Moers;;
Lidl Filiale Fresnostr. 16 in 48159 Muenster;;
Lidl Filiale Borkener Str. 43 in 46284 Dorsten;;
Lidl Filiale Muensterstr. 150 in 48249 Duelmen;;
Lidl Filiale Westhoffstr. 138 in 48159 Muenster;;
Lidl Filiale Am Brauturm 16 in 46286 Dorsten;;
Lidl Filiale Gerhard-Malina-Str. 2a in 46537 Dinslaken;;
Lidl Filiale Niederrheinallee 293 in 47506 Neukirchen-Vluyn;;
Lidl Filiale Kleinbahnstr. 20 in 47906 Kempen;;
Lidl Filiale Hedwigstr. 18 in 46537 Dinslaken;;
